Ticker,Security Description 1,Shares,Cost,Market Value,GICS Sector,P/L,Reporting Account Number,Reporting Account Name,Source Account Number,Source Account Name,As Of Date,Security Description 2,Asset Code,Asset Category,Sector Name,Position Type,Acct Base Currency Code,Acct Base Currency Name,Local Currency Code,Local Currency Name,Country Code,Country Name,Local Cost,Base Price,Local Price,Base Net Income Receivable,Local Net Income Receivable,Local Market Value,Base Notional Cost,Local Notional Cost,Base Notional Value,Local Notional Value,Coupon Rate,Maturity Date,Local Unrealized Gain/Loss,Base Unrealized Currency Gain/Loss,Base Net Unrealized Gain/Loss,Gen Ledger Acct,Pay Date,Report Run Date,Percent Of Total,Link Ref,Issuer ID,Counterparty Name,Exchange Rate,Original Strike Price,Current Strike Price,Mellon Security ID,CINS,CUSIP,ISIN,SEDOL,Valoren,Sicovam,WPK,Quick,Underlying Sec ID,Loan ID,Manager,Counterparty,Derivative Type,Acctg Status Update (EST),Underlying Security Description 1,Underlying Security Description 2,Underlying Security CUSIP,Underlying Security CINS,Underlying Security ISIN,Underlying Security SEDOL,Underlying Security TICKER,Underlying Security SICOVAM,Underlying Security VALOREN,Underlying Security WPK,Underlying Security QUICK,Underlying Security Loan ID,Underlying Security MANAGER,Accounting Status,Primary GSP Account,Extended GSP Account Number
AAPL,APPLE INC,184,"12,651",21311,Information Technology,"8,660",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E091,Stocks,COMPUTERS,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"12,651",116,116,0,0,"21,311",0,0,0,0,0,,"8,660",0,"8,660","999,999",,"41,279",4,,"37,833",,1,0,0,"37,833,100",,"37,833,100",US0378331005,"2,046,251",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
AET,AETNA INC,83,"9,157",10293,Health Care,"1,136",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E033,Stocks,HEALTH CARE SERVICES,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"9,157",124,124,0,0,"10,293",0,0,0,0,0,,"1,136",0,"1,136","999,999",,"41,279",2,,00817Y,,1,0,0,00817Y108,,00817Y108,US00817Y1082,"2,695,921",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
AMZN,AMAZON.COM INC,30,"7,487",22496,Consumer Discretionary,"15,009",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E079,Stocks,INTERNET,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"7,487",750,750,0,0,"22,496",0,0,0,0,0,,"15,009",0,"15,009","999,999",,"41,279",4,,"23,135",,1,0,0,"23,135,106",,"23,135,106",US0231351067,"2,000,019",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
ANTM,ANTHEM INC,85,"5,239",12220,Health Care,"6,981",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E033,Stocks,HEALTH CARE SERVICES,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"5,239",144,144,0,0,"12,220",0,0,0,0,0,,"6,981",0,"6,981","999,999",,"41,279",2,,"36,752",,1,0,0,"36,752,103",,"36,752,103",US0367521038,BSPHGL4,,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
BA,BOEING CO/THE,50,"4,427",7784,Industrials,"3,357",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E117,Stocks,AEROSPACE/DEFENSE,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"4,427",156,156,0,0,"7,784",0,0,0,0,0,,"3,357",0,"3,357","999,999",,"41,279",1,,"97,023",,1,0,0,"97,023,105",,"97,023,105",US0970231058,"2,108,601",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
BLL,BALL CORP,150,"5,378",11261,Materials,"5,882",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E115,Stocks,PACKAGING PRODUCTS,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"5,378",75,75,0,0,"11,261",0,0,0,0,0,,"5,882",0,"5,882","999,999",,"41,279",2,,"58,498",,1,0,0,"58,498,106",,"58,498,106",US0584981064,"2,073,022",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
CALM,CAL-MAINE FOODS INC,100,"4,125",4418,Consumer Staples,293,G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E056,Stocks,FOOD PROCESSING,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"4,125",44,44,0,0,"4,418",0,0,0,0,0,,293,0,293,"999,999",,"41,279",1,,"128,030",,1,0,0,"128,030,202",,"128,030,202",US1280302027,"2,158,781",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
CCI,CROWN CASTLE INTERNATIONAL COR,59,"5,191",5119,Real Estate,-71,G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E3,Stocks,EQUITY REIT (REAL ESTATE INVESTMENT TRUST),,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"5,191",87,87,0,0,"5,119",0,0,0,0,0,,-71,0,-71,"999,999",,"41,279",1,,22822V,,1,0,0,22822V101,,22822V101,US22822V1017,BTGQCX1,,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
CI,CIGNA CORP,60,"2,660",8003,Health Care,"5,343",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E033,Stocks,HEALTH CARE SERVICES,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"2,660",133,133,0,0,"8,003",0,0,0,0,0,,"5,343",0,"5,343","999,999",,"41,279",1,,"125,509",,1,0,0,"125,509,109",,"125,509,109",US1255091092,"2,196,479",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
CMCSA,COMCAST CORP,70,"3,933",4834,Consumer Discretionary,901,G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E075,Stocks,MEDIA,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"3,933",69,69,19,19,"4,834",0,0,0,0,0,,901,0,901,"999,999","41,298","41,279",1,,20030N,,1,0,0,20030N101,,20030N101,US20030N1019,"2,044,545",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
