AAPL,AET,AMZN,ANTM,BA,BLL,CALM,CCI,CI,CMCSA,CNQ,COF,DFS,DGX,DOW,DUK,ESRX,FB,FIS,GD,GIS,GOOG,GOOGL,HAS,HBHC,ICE,INTC,KMI,LCI,LLL,LNT,MDCO,MMM,NDAQ,ORCL,PFE,PG,PPL,PREKF,PSX,RAI,RGA,SNY,T,TECH,TWX,UNH,V,VC,VZ,WM,WMT,WWAV,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLV,XLY,XOM
0.002849262,-0.009434768,0.005067529,-0.003686438,0.008286286,0.00905821,-0.009732911,0.000345822,0.01746759,0,0.019134343,0.018684137,0.008877889,0.005984713,0.006640982,0.001417175,0.008867582,0.015732273,0.017715542,0.016158882,0.005180516,0.018553559,0.019635305,0.025838822,0.024362006,-0.003544794,0.009098377,0.043457358,0.018140681,0.001183306,0.001055714,-0.032115528,-0.002912043,-0.006555456,0.006527389,0.016009892,0.001427159,-0.000587393,0,0.004397598,0.002319712,-0.010569829,0.01434226,0.011521316,-0.002139459,0.00238272,0.008810318,0.018969544,0.007468335,0.022480329,-0.005500027,-0.006655073,-0.001079083,0.005835024,0.011285161,0.011182766,0.005946619,0.008891663,0.003674381,0.003252059,0.01305473,0.005896752,0.006979809
-0.001119279,0.009280419,0.004657224,-0.001326459,0.010511525,0.015181545,0.00685712,0.00599074,0.022104335,0.011875423,0.010772485,0.016090932,0.016636859,0.006706361,0.007986163,-0.001029223,0.025072002,0.015659772,0.016367812,0.000512948,-0.000322133,0.00096676,-0.000297014,0.014285709,0.014722495,0.017609359,-0.005191223,0.005090161,0.046770555,-0.000393967,0.006063768,0.074581466,0.00151645,0.015596889,0.004928742,0.008787899,0.00356298,0.002056996,0,0.005415389,-0.013174251,0.015261055,-0.004144369,-0.005811256,0.023097183,-0.00051678,0.002849218,0.008176112,0.038670595,-0.001099317,-0.002836021,0.005825716,0.000360101,0.014602919,-0.002100512,0.008081699,0.005911466,0.003484285,0,0.012641809,0.007875199,0.013312213,-0.011002314
0.005085364,0.004274872,0.03073248,0.010625686,0.000567467,-0.000520171,-0.003405153,-0.000916191,0.021554251,0.004007442,-0.001522481,-0.021262526,-0.014065469,-0.004082925,-0.00447816,0.001287799,-0.003795277,0.016682079,-0.002428351,0.003418061,0.002899967,0.009048158,0.006499375,0.034222831,-0.018973188,-0.004195031,-0.001647935,-0.001381149,-0.031914894,0.000656939,-0.001310253,0.006232323,-0.003420821,-0.00118135,-0.002581389,0.009612473,0.006627186,0.005865112,0.016694655,-0.005959248,-0.004329815,-0.011075957,0.015911922,-0.002805673,-0.017241422,-0.016751136,0.001667529,0.011727945,-0.001903128,0.002200997,0.003839539,0.002172037,-0.002159863,-0.002957444,-0.002499696,-0.010126637,-0.002858953,0.001634027,0.003275483,0.005121609,0.005114369,-0.000723116,-0.014907065
0.011148297,-0.002007866,0.019911561,-0.001521764,0.002457306,0.004423574,-0.019362254,-0.019944949,0.000705598,0.001710535,-0.006404374,0.002489265,-0.011522687,-0.002385115,-0.006228374,-0.003344072,-0.001693283,0.022706605,0.010762282,0.007494078,-0.004856743,0.015276698,0.014993483,-0.010034597,0,0.006494632,0.003576355,0.005532422,-0.021978022,0.011685146,-0.008134368,0.019988739,0.002926056,0.012122989,-0.004917133,-0.003867928,-0.000352679,0.007580249,0,-0.015448432,0.003080307,0.000719967,-0.028433735,-0.019924145,0.005331035,-0.003575525,0.001418246,0.01381185,-0.006077964,-0.014834838,-0.005666445,-0.013726286,-0.000901876,0.000988706,0.000923231,0.00341015,0.005734317,0.007340951,0.000960239,0,0.002826805,0.00494507,-0.000564688
0.009159479,-0.008691469,0.001168348,-0.010807157,-0.004902572,-0.015803026,0.025551754,0.002690097,0.003807977,0.007969347,-0.030079845,-0.013092511,-0.006105954,0.004455586,0.00609335,-0.010969139,0.011448735,0.012073559,-0.010774475,-0.007832747,-0.014803969,0.000620232,0.002387236,-0.003258167,-0.015927203,-0.005580757,0.003563637,-0.007794568,0.006741573,-0.008046235,-0.013756641,-0.007176346,-0.00538625,-0.010078902,0.015084473,-0.000298621,-0.00740911,-0.009837975,0.011994834,-0.016159306,0.006322229,-0.019106233,0.015872991,-0.012584729,-0.004627879,-0.01266487,-0.002832383,-0.005595413,-0.020623525,-0.010889937,-0.005841343,0.006592391,-0.001263748,-0.000197518,-0.01449465,-0.006797035,-0.007760497,-0.000202477,-0.008058284,-0.006369382,0.004228383,-0.000840132,-0.016497169
0.001008514,-0.002115057,-0.001279876,0.024861706,0.004737243,-0.004738095,-0.012457621,-0.015980433,-0.014892943,0.001270592,-0.014240527,0.017612086,0.006841643,0.006166829,-0.002076536,-0.00182672,0.013135858,-0.004403555,-0.004997432,0.001647035,-0.00181638,-0.00230589,-0.001414424,0.003147731,0.018497096,-0.004384423,-0.001912051,-0.003234749,-0.029017857,-0.012494202,-0.00107288,0.026410814,-0.003892382,-0.008410795,-0.009479862,-0.000896402,-0.010782041,-0.008182416,0.007356871,-0.003094435,0.001795039,0.007171999,0.002197266,0.000245147,0.007458393,-0.00160344,-0.002284625,-0.005382287,0.059378048,0.001518565,-0.004155923,-0.006985819,0.001084617,0.000592751,-0.00909212,0.002138647,0.004150004,0.000202518,-0.005029062,-0.012500026,0.003508759,0.003603637,-0.012752757
0.005373174,-0.000326086,0.003920085,-0.003484993,0.002074472,0.014414126,0.019495483,0.009957281,0.01718608,0.01113934,-0.004815406,0.001798113,-0.006379138,0.002903194,0.010230623,0.007843118,-0.005655228,0.013992747,-0.003348389,0.004025893,0.00876756,0.003876782,0.00466093,-0.004586019,0.004540309,0.001233042,0.011220586,0.017153482,-0.052873563,-0.022920018,0.013694917,-0.017605581,0.007418717,0.007738145,0.011639964,-0.018241534,0.003114174,0.008839217,0.01716236,0.013490889,-0.000179204,0.005664327,-0.006333691,-0.004900759,-0.022593969,0.002997843,0.001918537,0.00602638,0.029238403,-0.005686107,0.00920995,0.00439683,0.002166829,0.008096369,0.010794808,0.006402035,0.005245615,0.004655859,0.001944057,-0.005517704,-0.010069943,0.002154409,0.010240858
-0.004175361,8.16E-05,0.018297408,0.01618323,-0.006963618,0.004432329,-0.033745781,-0.000234705,0.014231617,-0.004044094,-0.007419354,-0.014022882,-0.004745347,-0.00160817,0.000514985,0.005706909,-0.003190387,0.004203402,-0.004393277,-0.003106135,0.004755658,-0.001918516,-0.000397604,0.011760351,-0.019209012,-0.00211116,-0.006495323,0.011394729,-0.012135922,-0.012135547,-0.002648967,0.00192997,-0.002529634,-0.004725327,0.002301202,-0.007005897,0.001074587,0.007593414,0.000877507,-0.006479008,-0.001075236,0.004264548,-0.004167737,0.009849717,0.003442834,0.001814676,0.002903215,-0.005256723,-0.020997036,0.004193691,-0.003422188,-0.008171568,-0.000540523,-0.001958838,-0.004138372,-0.008481817,-0.00411135,-0.002417941,-0.000970113,0.003916468,0.000988978,-0.000955471,-0.005414132
-0.001761002,-0.002690811,0.004301657,0.002294326,0.003411514,-0.011421215,0.001164121,0.005869927,0.011336145,0.018902241,0.021449468,0.01092274,0.004908237,-0.004510374,-0.008406279,-0.004255887,-0.000834929,0.013583896,0.004153139,0.007761137,-0.003100996,0.001885039,0.001699725,0.004913168,0.019585225,0.001939355,0.002179299,0.010365013,-0.002457052,0.021824119,-0.004249668,0.048981811,-0.000281805,0.004599375,0.001530536,-0.00245392,0.00202774,-0.004057945,0,-0.012449556,0.004126306,0.001442198,0.020925702,-0.001219191,-0.006077857,0.003090049,-0.003449111,-0.002457969,0.005734602,-0.002467749,-0.0014308,-0.012358458,-0.000540869,-0.001570205,-0.002949086,0.005560337,0.00381077,0.003029722,0.000582618,-0.002275672,0.000988001,0.003705888,0.00011584
0.008064509,-0.010383428,-0.009080505,-0.011984101,-0.007303426,0.004201133,0.009302372,0.019607838,-0.010525554,-0.002885777,0.002227166,-0.027912167,-0.024560453,-0.00474644,-0.008131436,0.003237922,0.018941517,-0.003662093,0.017190052,-0.010793177,0.014734741,-0.004047656,-0.004188004,0.015621242,-0.0343503,-0.006510702,0.000271782,0.005798354,-0.036945815,-0.001947702,0.006935142,-0.013903437,-0.000732872,-0.010633605,-0.004075395,-0.014145115,0.014283972,0.009604134,0,0.003241651,0.030552057,-0.01368109,-0.012298095,0.003662158,-0.022980595,0.00775444,-0.007045732,0.001108833,-0.000228122,0.003615661,-0.004441857,0.019216462,-0.001082215,-0.004521319,0.006184457,-0.023819596,-0.00775074,-0.003825997,0.014169253,0.008145992,-0.005076149,0.001667443,0.011696606
